roman,titreLabel,date_de_publication,nombre_de_pages,authorLabel
http://www.wikidata.org/entity/Q106119597,,2013-03-15T00:00:00Z,,
http://www.wikidata.org/entity/Q106498501,Увела ружа,2021-01-01T00:00:00Z,68,Borisav Stanković
http://www.wikidata.org/entity/Q106595701,La Erupción Zafiro,2020-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q106686859,Vetas profundas,2019-01-01T00:00:00Z,,Fernando Aramburu
http://www.wikidata.org/entity/Q106835320,Entre vinos hablaos,2021-02-01T00:00:00Z,,Olga Luján
http://www.wikidata.org/entity/Q107050557,The Last Days of Forcados High School,2013-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q107272639,,2018-01-01T00:00:00Z,144,Michael Chabon
http://www.wikidata.org/entity/Q107302819,,2020-01-01T00:00:00Z,,Andrea Tompa
http://www.wikidata.org/entity/Q107400936,الملف 42,2020-01-01T00:00:00Z,,Abdelmajid Sebbata
http://www.wikidata.org/entity/Q107596125,,2020-01-01T00:00:00Z,,Alison Stine
http://www.wikidata.org/entity/Q107647715,,2015-01-01T00:00:00Z,,Denise Mina
http://www.wikidata.org/entity/Q107655928,,2017-01-01T00:00:00Z,,Sabda Armandio
http://www.wikidata.org/entity/Q107681735,Swimming with Jonah : a novel,1999-01-01T00:00:00Z,,Audrey Schulman
http://www.wikidata.org/entity/Q107988234,"Detransition, Baby",,,Torrey Peters
http://www.wikidata.org/entity/Q108074725,Schneeschwestern,2011-01-01T00:00:00Z,,Matthias Wittekindt
http://www.wikidata.org/entity/Q108208219,The Voice,1964-01-01T00:00:00Z,,Gabriel Okara
http://www.wikidata.org/entity/Q108377484,The Spider King’s Daughter,2013-07-09T00:00:00Z,,Chibundu Onuzo
http://www.wikidata.org/entity/Q108392233,Head above Water,1986-01-01T00:00:00Z,,Buchi Emecheta
http://www.wikidata.org/entity/Q108392233,Head above Water,1994-02-22T00:00:00Z,,Buchi Emecheta
http://www.wikidata.org/entity/Q108444422,In the ditch,1972-01-01T00:00:00Z,,Buchi Emecheta
http://www.wikidata.org/entity/Q108718502,,2021-01-01T00:00:00Z,,Susanne Saygin
http://www.wikidata.org/entity/Q108747057,,,,Ramón Gómez de la Serna
http://www.wikidata.org/entity/Q108860788,Dwa bieguny,1893-01-01T00:00:00Z,,Eliza Orzeszkowa
http://www.wikidata.org/entity/Q109006741,,,,Honoré de Balzac
http://www.wikidata.org/entity/Q109044081,My Demon's Name Is Ed,2016-10-04T00:00:00Z,,Danah Khalil
http://www.wikidata.org/entity/Q109046208,,,,
http://www.wikidata.org/entity/Q109051138,,2016-08-13T00:00:00Z,,Christina Kilbourne
http://www.wikidata.org/entity/Q109081333,,2014-09-01T00:00:00Z,,Lisa Harrington
http://www.wikidata.org/entity/Q109099522,On Ajayi Crowther Street,2020-05-19T00:00:00Z,,Elnathan John
http://www.wikidata.org/entity/Q109099827,The Chibok Girls,2017-04-06T00:00:00Z,,Helon Habila
http://www.wikidata.org/entity/Q109141366,,2020-01-01T00:00:00Z,,Leanne Simpson
http://www.wikidata.org/entity/Q109236375,Naira power,1982-01-01T00:00:00Z,,Buchi Emecheta
http://www.wikidata.org/entity/Q109311428,Any Way the Wind Blows,2021-01-01T00:00:00Z,,Rainbow Rowell
http://www.wikidata.org/entity/Q109343069,人世间,,,Liang Xiaosheng
http://www.wikidata.org/entity/Q109345199,,2016-01-01T00:00:00Z,,Peter Tieryas
http://www.wikidata.org/entity/Q109346837,,,,Nkem Nwankwo
http://www.wikidata.org/entity/Q109359462,,,,Kyūsaku Yumeno
