roman,titreLabel,authorLabel
http://www.wikidata.org/entity/Q12221930,طواحين بيروت,Toufic Youssef Aouad
http://www.wikidata.org/entity/Q12277170,,
http://www.wikidata.org/entity/Q12278885,,
http://www.wikidata.org/entity/Q12280299,,
http://www.wikidata.org/entity/Q12291104,,
http://www.wikidata.org/entity/Q12294103,,
http://www.wikidata.org/entity/Q12374054,Riiulid,Andres Vanapa
http://www.wikidata.org/entity/Q12448539,,Munshi Premchand
http://www.wikidata.org/entity/Q12603394,,
http://www.wikidata.org/entity/Q12605355,,Chae-ik Yi
http://www.wikidata.org/entity/Q12684983,Change!,http://www.wikidata.org/.well-known/genid/2f914b3fd00ec36b0fe5e31c6f24e909
http://www.wikidata.org/entity/Q12699574,,
http://www.wikidata.org/entity/Q12747447,Šnit,Igor Marojevic
http://www.wikidata.org/entity/Q12809752,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q13010007,,Yandamuri Veerendranath
http://www.wikidata.org/entity/Q13013331,,Kan Phuengbun na Ayutthaya
http://www.wikidata.org/entity/Q13013331,,King Phuengbun na Ayutthaya
http://www.wikidata.org/entity/Q13036209,Toorbos,Dalene Matthee
http://www.wikidata.org/entity/Q13038571,Elira,
http://www.wikidata.org/entity/Q13041631,Lindita,Sulejman Krasniqi
http://www.wikidata.org/entity/Q13042955,Mjegull,Teodor Laço
http://www.wikidata.org/entity/Q13046786,Thikat,Neshat Tozaj
http://www.wikidata.org/entity/Q13058219,,Humayun Ahmed
http://www.wikidata.org/entity/Q13058241,,
http://www.wikidata.org/entity/Q13058552,,
http://www.wikidata.org/entity/Q13101375,,Jhemp Hoscheit
http://www.wikidata.org/entity/Q13104110,Meewäin,Josy Braun
http://www.wikidata.org/entity/Q13113842,മധുരം ഗായതി,O. V. Vijayan
http://www.wikidata.org/entity/Q13146878,Carretera ensin barru,Q123258157
http://www.wikidata.org/entity/Q13147123,,Ismael González Arias
http://www.wikidata.org/entity/Q13183096,,
http://www.wikidata.org/entity/Q13187119,सुम्निमा,Bishweshwar Prasad Koirala
http://www.wikidata.org/entity/Q13187365,,Hr̥dayacandasiṃha Pradhāna
http://www.wikidata.org/entity/Q13471165,,Marvin Albert
http://www.wikidata.org/entity/Q15097035,,David Nicholls
http://www.wikidata.org/entity/Q15104237,,Andrea Camilleri
http://www.wikidata.org/entity/Q15258907,Амок,Ianka Mawr
http://www.wikidata.org/entity/Q15714223,,Valerio Evangelisti
http://www.wikidata.org/entity/Q15929347,绿野仙踪,Li Baichuan
http://www.wikidata.org/entity/Q16004459,Terrienne,Jean-Claude Mourlevat
http://www.wikidata.org/entity/Q16136141,,K. Surendran
http://www.wikidata.org/entity/Q16183793,옥루몽,Q85975754
http://www.wikidata.org/entity/Q16469664,,
http://www.wikidata.org/entity/Q16511856,,Ivo Andrić
http://www.wikidata.org/entity/Q16551050,,Giulio Leoni
http://www.wikidata.org/entity/Q16560293,,Gustaw Morcinek
http://www.wikidata.org/entity/Q16565084,,Augusto De Angelis
http://www.wikidata.org/entity/Q16570602,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q16573209,,Giuliano Sangiorgi
http://www.wikidata.org/entity/Q16619405,,Alessandro Perissinotto
